date,ic
2025-07-23,0.15451476930696162
2025-07-24,0.14555862927524038
2025-07-25,0.10746209217457778
2025-07-28,0.07651991642234686
2025-07-29,0.07734896659669831
2025-07-30,0.04957738726946212
2025-07-31,-0.03835131121251657
2025-08-01,-0.04986445857098014
2025-08-04,-0.035926704401325935
2025-08-05,-0.036661638125620725
2025-08-06,-0.06763844078340242
2025-08-07,-0.04599528676252526
2025-08-08,-0.01897705365509233
2025-08-11,-0.08199809076346803
2025-08-12,-0.05263250443070699
2025-08-13,-0.11560998686934917
2025-08-14,-0.13965216456225696
2025-08-18,-0.16526596246520783
2025-08-19,-0.1272041858472347
2025-08-20,-0.10451355554556112
2025-08-21,-0.1213276870069454
2025-08-22,-0.11089265312069765
2025-08-25,-0.04282959269282494
2025-08-26,-0.06255417703823511
2025-08-28,-0.07276220070596631
2025-08-29,-0.05593779828189627
2025-09-01,-0.09528551783338705
2025-09-02,-0.059465665685116804
2025-09-03,-0.09223459539717892
2025-09-04,-0.04378804751299183
2025-09-05,-0.07596179340333015
2025-09-08,-0.032118066603033193
2025-09-09,-0.04101376073814827
2025-09-10,0.003769885459751829
2025-09-11,0.08286509704104357
2025-09-12,0.13050747693286666
2025-09-15,0.17353733768660298
2025-09-16,0.15324175700982473
2025-09-17,0.19091022377770706
2025-09-18,0.20135247640258772
2025-09-19,0.20475222717149216
2025-09-22,0.1312464094472895
2025-09-23,0.0794795596635324
2025-09-24,0.0465073353871109
2025-09-25,0.04883791508872449
2025-09-26,-0.039860552426924094
2025-09-29,-0.035972633740818494
2025-09-30,-0.004929819881012234
2025-10-01,0.0006151716613520288
2025-10-03,-0.0006018122526496134
2025-10-06,-0.007675236187427727
2025-10-07,0.030215564404670794
2025-10-08,0.03159614556554042
2025-10-09,0.00642550123190049
2025-10-10,0.014405082513127958
2025-10-13,-0.007457647847167903
2025-10-14,-0.00041823467513242617
2025-10-15,-0.005650690603159882
2025-10-16,0.018255058180863887
2025-10-17,0.00045505155637314226
2025-10-20,-0.008695535857604025
2025-10-21,0.008806404961260984
2025-10-23,0.06750712769725059
2025-10-24,0.0922051400952398
2025-10-27,0.06506460152414245
2025-10-28,0.04431338427396856
2025-10-29,0.13306410723521786
2025-10-30,0.1347795769886384
2025-10-31,0.10592403774420868
2025-11-03,0.07421215134067816
2025-11-04,0.06763236319614717
2025-11-06,0.08204874774102441
2025-11-07,0.036590623863211255
2025-11-10,0.05163980284517005
2025-11-11,0.05316782764881944
2025-11-12,0.09255245073904662
2025-11-13,0.1409846156410908
2025-11-14,0.15154512028217426
2025-11-17,0.13378804292244792
2025-11-18,0.15098048959238675
2025-11-19,0.13379674569355554
2025-11-20,0.1298988335888981
2025-11-21,0.1290346300020376
2025-11-24,0.0997785013947455
2025-11-25,0.06797593324123516
2025-11-26,0.06296909675068729
2025-11-27,0.07517599488385483
2025-11-28,0.12366174652250893
2025-12-01,0.13110785988973145
2025-12-02,0.1597516166139894
2025-12-03,0.16237545935012299
2025-12-04,0.21325148420622336
2025-12-05,0.20009656357692754
2025-12-08,0.15130310205744965
2025-12-09,0.1500209715616572
2025-12-10,0.18807052580281605
2025-12-11,0.22436369080039112
2025-12-12,0.21118712328430042
2025-12-15,0.22563886667105088
2025-12-16,0.2096928696225267
2025-12-17,0.20959966544683814
2025-12-18,0.22670555723080316
2025-12-19,0.24659111920193683
2025-12-22,0.27230837996893437
2025-12-23,0.2999482751770639
2025-12-24,0.28910312306603914
2025-12-26,0.33497955459259154
2025-12-29,0.2629828653438005
2025-12-30,0.237407691928019
2025-12-31,0.2312454297383581
2026-01-01,0.2147071338121651
2026-01-02,0.24832935285855043
2026-01-05,0.23572347741704108
2026-01-06,0.2118597476415835
2026-01-07,0.2511955944790843
2026-01-08,0.20739553589931636
2026-01-09,0.14711900835266067
2026-01-12,0.135971414070343
2026-01-13,0.18458817121681115
2026-01-14,0.12531441441492078
2026-01-15,0.1284718693624881
2026-01-16,0.11125900103479226
2026-01-19,0.10425708764645113
2026-01-20,0.09462250878393073
2026-01-21,0.10596698397098221
2026-01-22,0.08870265827730699
2026-01-23,0.09261081351990869
2026-01-27,0.05209243795189457
2026-01-28,0.10509716320768676
2026-01-29,0.04462454020248017
2026-01-30,0.13045515786294354
2026-02-02,0.12500158958463986
2026-02-03,0.16364185267328185
2026-02-04,0.16227483951888122
2026-02-05,0.1616509282033971
2026-02-06,0.18870241330865684
2026-02-09,0.17589602606991897
2026-02-10,0.16919363871400808
2026-02-11,0.13504421213701018
2026-02-12,0.1147934950520977
2026-02-13,0.14102292962614635
2026-02-16,0.07031279798658768
2026-02-17,0.06060680202609482
2026-02-18,0.053436862534203704
2026-02-19,0.07205388638322278
2026-02-20,0.05259489881145311
2026-02-23,0.06621239822504967
2026-02-24,0.029982943224417528
2026-02-25,0.017722256994161172
2026-02-26,-0.04430338194856122
2026-02-27,-0.06020786838616423
2026-03-02,-0.07444199723965163
2026-03-04,-0.053276449691448784
2026-03-05,-0.06099021783302832
2026-03-06,-0.03066185558466869
2026-03-09,0.00042404073338714484
2026-03-10,-0.07304805917462713
2026-03-11,-0.07050871414730701
2026-03-12,-0.10683401291719694
2026-03-13,-0.06351240949939432
2026-03-16,-0.08590744349491874
2026-03-17,-0.17826699378147082
2026-03-18,-0.1331953343270895
2026-03-19,-0.12667778337697155
2026-03-20,-0.07124032406113287
2026-03-23,-0.11006803451145385
2026-03-24,-0.11831559733426275
2026-03-25,-0.13893698058901943
2026-03-27,-0.18139344886181144
2026-03-30,-0.21523755259414853
2026-04-01,-0.18077522799471868
2026-04-02,-0.09994052260459149
2026-04-06,-0.13072042819954335
2026-04-07,-0.143645568450965
2026-04-08,-0.1423665923670519
2026-04-09,-0.10618564912248456
2026-04-10,-0.025587173434659768
2026-04-13,-0.03580574666259732
2026-04-15,0.08553474714106245
2026-04-16,0.12455242670334235
2026-04-17,0.12546739132633353
2026-04-20,0.05630533328215134
2026-04-21,0.09938744435410045
2026-04-22,0.11768907962462484
2026-04-23,0.10909152377619773
2026-04-24,0.055630777606007854
2026-04-27,0.13072165476103237
2026-04-28,0.14308978837400563
2026-04-29,0.1448076423933242
2026-04-30,0.14984389920255334
2026-05-01,0.13926799542988333
2026-05-04,0.15012009768054654
2026-05-05,0.1886823266541378
2026-05-06,0.21739936690877915
2026-05-07,0.21721556698705216
2026-05-08,0.24097644820582595
2026-05-11,0.21122793722071367
2026-05-12,0.13857054893347182
2026-05-13,0.13599881139468128
2026-05-14,0.06023518020293425
2026-05-15,0.0545447069006268
2026-05-18,0.005268721653094556
2026-05-19,0.03298839271764803
2026-05-20,0.004576735121015858
2026-05-21,0.03796267298578646
2026-05-22,0.0295638473580042
2026-05-25,0.050122312765795506
2026-05-26,0.0020551985105201234
2026-05-27,-0.042950620801205756
2026-05-28,-0.03693430787658394
2026-05-29,0.05947020816381451
2026-06-01,0.09532131534478251
2026-06-02,0.06864065273286826
2026-06-03,0.043730024467266114
2026-06-04,0.005054849057533707
2026-06-05,0.011789782875960417
2026-06-08,-0.027370868872662005
2026-06-09,0.008550546804891939
2026-06-10,0.014227155046290681
